Security,NDDUUS Index,MXUS Index,SPBDUB3T Index
Field,PX_LAST,PX_LAST,PX_LAST
Date,,,
1/2/89,,256.1,
1/3/89,,253.78,
1/4/89,,257.5,
1/5/89,,258.05,
1/6/89,,258.77,
1/9/89,,259.06,
1/10/89,,258.51,
1/11/89,,259.97,
1/12/89,,261.04,
1/13/89,,261.55,
1/16/89,,261.98,
1/17/89,,261.53,
1/18/89,,264.17,
1/19/89,,264.29,
1/20/89,,263.92,
1/23/89,,262.16,
1/24/89,,265.9,
1/25/89,,266.54,
1/26/89,,269.11,
1/27/89,,271.42,
1/30/89,,272.48,
1/31/89,488.345,274.78,
2/1/89,,274.48,
2/2/89,,273.8,
2/3/89,,273.99,
2/6/89,,273.2,
2/7/89,,276.63,
2/8/89,,275.67,
2/9/89,,272.49,
2/10/89,,268.66,
2/13/89,,269.19,
2/14/89,,268.53,
2/15/89,,270.87,
2/16/89,,271.4,
2/17/89,,273.02,
2/20/89,,273.02,
2/21/89,,272.41,
2/22/89,,267.84,
2/23/89,,268.62,
2/24/89,,264.18,
2/27/89,,264.91,
2/28/89,473.27,265.73,
3/1/89,,264.19,
3/2/89,,266.69,
3/3/89,,267.63,
3/6/89,,270.84,
3/7/89,,270.13,
3/8/89,,270.37,
3/9/89,,270.24,
3/10/89,,269.27,
3/13/89,,271.62,
3/14/89,,271.59,
3/15/89,,272.93,
3/16/89,,275.64,
3/17/89,,269.49,
3/20/89,,266.84,
3/21/89,,267.97,
3/22/89,,267.27,
3/23/89,,265.89,
3/24/89,,265.78,
3/27/89,,267.16,
3/28/89,,268.18,
3/29/89,,268.82,
3/30/89,,268.88,
3/31/89,483.491,270.88,
4/3/89,,272.1,
4/4/89,,271.22,
4/5/89,,272.17,
4/6/89,,271.29,
4/7/89,,272.94,
4/10/89,,273.03,
4/11/89,,274.35,
4/12/89,,274.78,
4/13/89,,272.42,
4/14/89,,276.95,
4/17/89,,277.4,
4/18/89,,281.17,
4/19/89,,282.25,
4/20/89,,281.4,
4/21/89,,284.68,
4/24/89,,283.92,
4/25/89,,282.21,
4/26/89,,282.26,
4/27/89,,284.71,
4/28/89,509.307,284.75,
5/1/89,,284.18,
5/2/89,,283.29,
5/3/89,,283.33,
5/4/89,,282.91,
5/5/89,,282.37,
5/8/89,,280.92,
5/9/89,,280.18,
5/10/89,,280.93,
5/11/89,,282.05,
5/12/89,,288.35,
5/15/89,,290.58,
5/16/89,,290.01,
5/17/89,,292.07,
5/18/89,,292.55,
5/19/89,,295.82,
5/22/89,,296.69,
5/23/89,,293.33,
5/24/89,,294.06,
5/25/89,,293.84,
5/26/89,,295.98,
5/29/89,,295.98,
5/30/89,,293.73,
5/31/89,528.507,294.88,
6/1/89,,296.37,
6/2/89,,299.68,
6/5/89,,296.58,
6/6/89,,298.4,
6/7/89,,300.83,
6/8/89,,300.7,
6/9/89,,300.59,
6/12/89,,300.44,
6/13/89,,298.46,
6/14/89,,298.18,
6/15/89,,294.65,
6/16/89,,295.87,
6/19/89,,296.36,
6/20/89,,295.8,
6/21/89,,295.18,
6/22/89,,296.49,
6/23/89,,301.72,
6/26/89,,300.57,
6/27/89,,302.4,
6/28/89,,300,
6/29/89,,294.64,
6/30/89,526.08,292.93,
7/3/89,,294.18,
7/4/89,,294.18,
7/5/89,,295.44,
7/6/89,,296.19,
7/7/89,,299.26,
7/10/89,,301.45,
7/11/89,,303.11,
7/12/89,,304.16,
7/13/89,,304.2,
7/14/89,,305.74,
7/17/89,,306.15,
7/18/89,,305.2,
7/19/89,,309.34,
7/20/89,,307.52,
7/21/89,,309.88,
7/24/89,,307.66,
7/25/89,,307.68,
7/26/89,,311.62,
7/27/89,,315.27,
7/28/89,,315.38,
7/31/89,573.843,318.92,
8/1/89,,316.39,
8/2/89,,317.05,
8/3/89,,317.44,
8/4/89,,316.74,
8/7/89,,321.72,
8/8/89,,321.5,
8/9/89,,319.65,
8/10/89,,320.89,
8/11/89,,317.63,
8/14/89,,316.15,
8/15/89,,317.53,
8/16/89,,318.39,
8/17/89,,317.4,
8/18/89,,318.76,
8/21/89,,313.9,
8/22/89,,314.22,
8/23/89,,317.25,
8/24/89,,323.53,
8/25/89,,322.52,
8/28/89,,323.92,
8/29/89,,321.74,
8/30/89,,322.62,
8/31/89,582.063,322.87,
9/1/89,,325.26,
9/4/89,,325.26,
9/5/89,,324.4,
9/6/89,,321.41,
9/7/89,,320.49,
9/8/89,,320.8,
9/11/89,,320.01,
9/12/89,,320.97,
9/13/89,,317.92,
9/14/89,,315.78,
9/15/89,,317.64,
9/18/89,,319.14,
9/19/89,,319.03,
9/20/89,,318.91,
9/21/89,,318.2,
9/22/89,,319.3,
9/25/89,,316.54,
9/26/89,,316.77,
9/27/89,,317.52,
9/28/89,,320.66,
9/29/89,580.357,321.31,
10/2/89,,323.08,
10/3/89,,326.61,
10/4/89,,328.32,
10/5/89,,328.37,
10/6/89,,329.75,
10/9/89,,330.69,
10/10/89,,330.09,
10/11/89,,328.07,
10/12/89,,326.54,
10/13/89,,306.55,
10/16/89,,315.06,
10/17/89,,313.42,
10/18/89,,313.8,
10/19/89,,318.78,
10/20/89,,319.12,
10/23/89,,317.08,
10/24/89,,316.37,
10/25/89,,315.22,
10/26/89,,311.3,
10/27/89,,308.54,
10/30/89,,308.54,
10/31/89,566.74,313.15,
11/1/89,,313.87,
11/2/89,,311.57,
11/3/89,,311.09,
11/6/89,,306.23,
11/7/89,,307.86,
11/8/89,,311.05,
11/9/89,,309.78,
11/10/89,,312.1,
11/13/89,,312.72,
11/14/89,,311.05,
11/15/89,,313.46,
11/16/89,,313.42,
11/17/89,,314.75,
11/20/89,,312.74,
11/21/89,,312.98,
11/22/89,,315.11,
11/23/89,,315.11,
11/24/89,,316.89,
11/27/89,,318.46,
11/28/89,,318.58,
11/29/89,,316.72,
11/30/89,577.981,318.73,
12/1/89,,323,
12/4/89,,323.62,
12/5/89,,322.19,
12/6/89,,321.18,
12/7/89,,320.22,
12/8/89,,321.1,
12/11/89,,321.16,
12/12/89,,323.89,
12/13/89,,324.75,
12/14/89,,323.15,
12/15/89,,322.54,
12/18/89,,316.91,
12/19/89,,315.99,
12/20/89,,316.05,
12/21/89,,317.49,
12/22/89,,319.9,
12/25/89,,319.89,
12/26/89,,319.09,
12/27/89,,321.03,
12/28/89,,322.82,
12/29/89,590.54,325.03,100
1/1/90,,325.03,
1/2/90,,330.83,100.071
1/3/90,,330.11,100.095
1/4/90,,327.43,100.116
1/5/90,,324.19,100.132
1/8/90,,326.03,100.185
1/9/90,,322.11,100.202
1/10/90,,320.13,100.23
1/11/90,,321.39,100.245
1/12/90,,313.65,100.273
1/15/90,,310.98,
1/16/90,,314.31,100.349
1/17/90,,311.21,100.369
1/18/90,,312.09,100.381
1/19/90,,312.94,100.405
1/22/90,,305.01,100.468
1/23/90,,305.88,100.488
1/24/90,,304.97,100.51
1/25/90,,300.9,100.535
1/26/90,,300.38,100.558
1/29/90,,299.72,100.617
1/30/90,,297.79,100.64
1/31/90,551.75,303.04,100.665
2/1/90,,302.69,100.688
2/2/90,,304.99,100.71
2/5/90,,305.88,100.768
2/6/90,,304.04,100.787
2/7/90,,307.92,100.812
2/8/90,,307.33,100.839
2/9/90,,307.94,100.866
2/12/90,,304.83,100.932
2/13/90,,305.61,100.96
2/14/90,,306.51,100.98
2/15/90,,309.45,100.99
2/16/90,,307.3,101.008
2/19/90,,307.3,
2/20/90,,302.97,101.085
2/21/90,,302.43,101.119
2/22/90,,300.87,101.143
2/23/90,,299.54,101.161
2/26/90,,303.68,101.223
2/27/90,,305.27,101.243
2/28/90,559.47,306.64,101.259
3/1/90,,307.39,101.277
3/2/90,,309.99,101.298
3/5/90,,308.27,101.358
3/6/90,,311.82,101.381
3/7/90,,310.76,101.402
3/8/90,,313.64,101.425
3/9/90,,311.51,101.44
3/12/90,,312.3,101.506
3/13/90,,309.9,101.525
3/14/90,,310.6,101.552
3/15/90,,311.61,101.575
3/16/90,,315.04,101.598
3/19/90,,316.52,101.663
3/20/90,,314.77,101.684
3/21/90,,313.2,101.708
3/22/90,,309.43,101.736
3/23/90,,310.63,101.76
3/26/90,,310.97,101.826
3/27/90,,314.61,101.847
3/28/90,,315.1,101.873
3/29/90,,314.01,101.897
3/30/90,572.231,312.99,101.921
4/2/90,,312.17,101.988
4/3/90,,316.54,102.011
4/4/90,,314.19,102.036
4/5/90,,314.17,102.059
4/6/90,,313.56,102.081
4/9/90,,314.76,102.146
4/10/90,,315.38,102.17
4/11/90,,315.43,102.193
4/12/90,,317.95,102.223
4/13/90,,317.95,102.223
4/16/90,,318.38,102.317
4/17/90,,318.45,102.337
4/18/90,,314.67,102.36
4/19/90,,312.22,102.381
4/20/90,,309.74,102.406
4/23/90,,306.13,102.471
4/24/90,,305.29,102.494
4/25/90,,306.99,102.517
4/26/90,,307.83,102.542
4/27/90,,304.16,102.568
4/30/90,560.093,305.7,102.635
5/1/90,,307.07,102.658
5/2/90,,309.05,102.678
5/3/90,,309.78,102.703
5/4/90,,312.13,102.723
5/7/90,,313.89,102.785
5/8/90,,315.27,102.807
5/9/90,,315.89,102.836
5/10/90,,317.16,102.871
5/11/90,,324.42,102.897
5/14/90,,326.77,102.96
5/15/90,,326.45,102.984
5/16/90,,325.89,103.01
5/17/90,,326.58,103.043
5/18/90,,326.38,103.061
5/21/90,,329.74,103.12
5/22/90,,330.3,103.145
5/23/90,,331.17,103.186
5/24/90,,330.85,103.192
5/25/90,,327.25,103.195
5/28/90,,327.25,
5/29/90,,332.46,103.279
5/30/90,,332.79,103.303
5/31/90,611.39,333.04,103.337
6/1/90,,334.92,103.355
6/4/90,,339.17,103.418
6/5/90,,338.51,103.437
6/6/90,,337.12,103.464
6/7/90,,335.4,103.484
6/8/90,,331.27,103.506
6/11/90,,334.04,103.569
6/12/90,,338.43,103.59
6/13/90,,337.18,103.617
6/14/90,,335.48,103.642
6/15/90,,335.43,103.662
6/18/90,,330.28,103.731
6/19/90,,331.75,103.764
6/20/90,,332.14,103.783
6/21/90,,333.53,103.807
6/22/90,,329.18,103.827
6/25/90,,326.36,103.884
6/26/90,,325.84,103.899
6/27/90,,328.46,103.921
6/28/90,,330.84,103.946
6/29/90,608.652,330.9,103.972
7/2/90,,332.33,104.036
7/3/90,,332.84,104.063
7/4/90,,332.84,
7/5/90,,329.09,104.117
7/6/90,,331.54,104.128
7/9/90,,332.48,104.19
7/10/90,,330.08,104.21
7/11/90,,334.43,104.231
7/12/90,,338.2,104.262
7/13/90,,339.72,104.288
7/16/90,,341.4,104.349
7/17/90,,340.64,104.37
7/18/90,,337.49,104.394
7/19/90,,338.6,104.419
7/20/90,,335.18,104.441
7/23/90,,329.35,104.511
7/24/90,,329.54,104.53
7/25/90,,330.58,104.549
7/26/90,,329.57,104.569
7/27/90,,327.3,104.596
7/30/90,,329.11,104.666
7/31/90,607.251,329.49,104.688
8/1/90,,328.85,104.715
8/2/90,,324.68,104.737
8/3/90,,319.5,104.772
8/6/90,,308.72,104.836
8/7/90,,309.38,104.848
8/8/90,,312.73,104.87
8/9/90,,314.54,104.89
8/10/90,,310.4,104.913
8/13/90,,313.28,104.97
8/14/90,,313.61,104.998
8/15/90,,314.4,105.015
8/16/90,,306.99,105.034
8/17/90,,302.69,105.057
8/20/90,,303.2,105.117
8/21/90,,297.22,105.138
8/22/90,,292.32,105.159
8/23/90,,283.87,105.19
